NBa7we src,d4r55,RfnDt,rsqaWe,wiI7pd,RfDO5c,RfDO5c (2),w8nwRe,dSlJg,NlVald,dSlJg (2),NlVald (2),RfDO5c (3),RfDO5c (4),pkWtMe
https://lh3.googleusercontent.com/a-/ALV-UjWr2U1clllQZlgBd6f1ZR8Ck-59WrtR1jypkzMCpiouzeOsGw=w72-h72-p-rp-mo-ba2-br100,MinXiao XIE,在地嚮導 · 27 則評論 · 11 張相片,2 年前,紅茶特棒，多年了也不漲價，很誇張。,,,,,,,分享,,,1
https://lh3.googleusercontent.com/a/ACg8ocIdUdbl2u2addP21eMC8WNSO9VmaiNQ_ACC5nWMiSFyYLsppQ=w72-h72-p-rp-mo-ba4-br100,Vita Shiu,在地嚮導 · 99 則評論 · 27 張相片,2 年前,紅茶還不錯!!拿鐵也好喝!!,,,,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a/ACg8ocJfNS2HgXzjU7mXz00GmeDd31ToALQ5EhDmDdI-yiyG9EwUEw=w72-h72-p-rp-mo-ba2-br100,阿杜,在地嚮導 · 21 則評論 · 5 張相片,3 年前,奶茶好喝 小時候的味道！！！,,,,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a-/ALV-UjWtEtPmlIm_2Zet6XzR8pJZUox3L3EZreqD5O0HidVASn7jor4AvA=w72-h72-p-rp-mo-ba3-br100,R R,在地嚮導 · 41 則評論 · 35 張相片,7 年前,推桔茶和拿鐵。在591巷內。現打果汁旁。,,,,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a/ACg8ocIOEhoTveu9mjEfjcjYFWkWLZhI1W49-iaI3c8fh_UDdESnNQ=w72-h72-p-rp-mo-ba3-br100,Annabel Hsu,在地嚮導 · 65 則評論 · 36 張相片,6 年前,老闆親切 價格親民 可惜珍珠硬了點,,,,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a-/ALV-UjWEbbCRmuaDU1Od6UOTW4_Ok101wbF67WxZwgNseHXZAiRKNJ5y=w72-h72-p-rp-mo-ba3-br100,袁美玲,在地嚮導 · 7 則評論 · 1 張相片,4 年前,CP高、老闆老闆娘親切，值得一來再來。,,,,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a-/ALV-UjVdK8jIA_QP7yep-4kL8MbM90nx5rLT9t1SRv17MQ5TKCU6vgBU=w72-h72-p-rp-mo-ba4-br100,DENG,在地嚮導 · 152 則評論 · 31 張相片,4 年前,口味不佳，態度令人不敢恭維,,,,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a/ACg8ocKToKzxhiAkUJFB7iTg8iwI2-vvjXCNXjR-zHlx8ZHQFspK4w=w72-h72-p-rp-mo-ba2-br100,Shelly Cheng,在地嚮導 · 29 則評論 · 14 張相片,6 年前,親切🥰價格親民 常常來 …,,,,,,,分享,,,1
https://lh3.googleusercontent.com/a/ACg8ocK5wPc-obfE-UeJ1spYPn_MOXdfZnGnGhLXGV5XYAQ-Ka2vhw=w72-h72-p-rp-mo-br100,李昱宏,1 則評論,2 年前,讚！,餐點：5,餐點：,全文,,,,分享,服務：5…,服務：,2
https://lh3.googleusercontent.com/a-/ALV-UjUkuFqdDzg9kpASGvUTbIwX6ZXeGNwnjw0LThe-LeGmngaEJO7h=w72-h72-p-rp-mo-ba2-br100,Mickey,在地嚮導 · 22 則評論 · 17 張相片,4 年前,🤮 …,,,,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a-/ALV-UjUMoGNAgfewU53gibAbIE0t2JmPym-JMzgnw-Jb9FEOlPxaGuM=w72-h72-p-rp-mo-ba3-br100,Ken,在地嚮導 · 60 則評論 · 5 張相片,7 年前,☕️好喝,,,,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a/ACg8ocJGRtiA7aPhuUAuGaVGWM3AaOMTAuqiUmcrt9VH9mKHtscXUA=w72-h72-p-rp-mo-ba5-br100,amy chang,"在地嚮導 · 443 則評論 · 1,441 張相片",3 天前,"奶茶好好喝
但珍珠有點太爛🥹🥹
整體價格西批值很高👍
老闆親切 …",餐點：4…,餐點：,全文,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a-/ALV-UjVThQ49GNgprHM4Qccr1nIxUnRg9wx5zGJwxobPE0fp_FjLnMof=w72-h72-p-rp-mo-ba5-br100,Saffron Chao,在地嚮導 · 585 則評論 · 901 張相片,4 年前,好喝，好喝，茉莉香奶茶🥤半糖 …,,,,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a/ACg8ocLt7lFbeHfSQRa6c2KPSOP4tA9SPD-F4JQdtvTuViiPqaQwgQ=w72-h72-p-rp-mo-br100,David Lee,7 則評論,3 年前,好喝，CP值高,服務,,,,,,分享,外帶,,2
https://lh3.googleusercontent.com/a-/ALV-UjUft6nFVP2VDpEUzXl3DeB_N68Pgf_EyjM10rAjtxW7RfnK2ng=w72-h72-p-rp-mo-br100,Justina Huang,10 則評論 · 1 張相片,3 年前,奶茶超好喝👍 …,服務,,,,,,分享,外帶,,2
https://lh3.googleusercontent.com/a/ACg8ocK2ZcgDEIoGCoznlc0g1RceLGsg35O4ICif2_dHmAbnNKR0Wg=w72-h72-p-rp-mo-br100,Man Wu,4 則評論 · 5 張相片,11 個月前,,餐點：5,餐點：,,,喜歡,,分享,,,
https://lh3.googleusercontent.com/a-/ALV-UjXZrCPlPgn73s6MdbnCKI78QBTGFW7N00EMlUXGLISX4_zRu80h=w72-h72-p-rp-mo-ba2-br100,全覝福利中心,在地嚮導 · 22 則評論 · 1 張相片,2 年前,,,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVpybmaUtXNixGFspOqZv9B6zNZ71dI1ijzsxO6c3n-d2kZoNRzxQ=w72-h72-p-rp-mo-br100,林君翰,12 則評論 · 1 張相片,4 年前,,,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjWlZAMFTSyXVOKKC24Yw5rFNzHd7ZV2TK49rW8N0gaLqpw_OO2V=w72-h72-p-rp-mo-br100,小小,23 則評論 · 4 張相片,4 年前,,,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUJd6nSs0tjn1P13G19JjeW7nW5j0jRwxikyqYh5eXkOtvNIu_8=w72-h72-p-rp-mo-br100,Yihn Tsai,4 則評論,4 年前,,,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjWy3L6jVWR3bHQqh8525M-VBLL3XGmeRhQwaPp6Flc3maN7zSFbTA=w72-h72-p-rp-mo-ba8-br100,吳宗達,"在地嚮導 · 49 則評論 · 38,872 張相片",7 年前,,,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocJnoymFMwPUKH4I9hKsZInJd1_CDBYuYzcsFqvCX4ekNIUBWQ=w72-h72-p-rp-mo-ba2-br100,吳宗達,在地嚮導 · 1 則評論 · 60 張相片,8 年前,,,,,,,,,,,
